Hilos, Iteracion, Tiempo
 1 , 1 , 5152.000189  
    1 , 2 , 5115.000010 
    1 , 3 , 5125.000000 
    1 , 4 , 5139.999866 
    1 , 5 , 5118.999958 
    2 , 1 , 2765.000105 
    2 , 2 , 3200.999975 
    2 , 3 , 3750.000000 
    2 , 4 , 2730.000019 
    2 , 5 , 2782.999992 
    3 , 1 , 1886.999846 
    3 , 2 , 2808.000088 
    3 , 3 , 1905.999899 
    3 , 4 , 2153.000116 
    3 , 5 , 1979.000092 
    4 , 1 , 1498.000145 
    4 , 2 , 1451.999903 
    4 , 3 , 1588.999987 
    4 , 4 , 1512.000084 
    4 , 5 , 1562.000036 
    5 , 1 , 1265.000105 
    5 , 2 , 1263.000011 
    5 , 3 , 1263.000011 
    5 , 4 , 1279.999971 
    5 , 5 , 1470.000029 
    6 , 1 , 1165.000200 
    6 , 2 , 1125.999928 
    6 , 3 , 1154.999971 
    6 , 4 , 1184.999943 
    6 , 5 , 1200.000048 
    7 , 1 , 1053.999901 
    7 , 2 , 1023.000002 
    7 , 3 , 1042.999983 
    7 , 4 , 1057.000160 
    7 , 5 , 1069.000006 
    8 , 1 , 1000.000000 
    8 , 2 , 929.999828 
    8 , 3 , 944.000006 
    8 , 4 , 1434.000015 
    8 , 5 , 1380.000114 

